
,Cboe data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.\n
,To access our full collection of comprehensive historical market data visit CBOE Data Shop at https://datashop.cboe.com.\n
Date,Open,High,Low,Close
11/21/2023,19.83,20.02,19.13,19.47
11/22/2023,19.44,20.58,19.32,20.26
11/24/2023,21.9,21.9,19.2,19.23
11/27/2023,22.8,22.8,19.36,19.77
11/28/2023,19.96,21.84,19.57,19.66
11/29/2023,19.57,20.82,19.48,20.43
11/30/2023,20.73,21.73,20.34,20.65
12/1/2023,20.93,21.26,20.34,21.11
12/4/2023,25.48,25.48,20.94,21.29
12/5/2023,21.44,21.64,20.85,20.95
12/6/2023,20.68,21.59,20.51,21.5
12/7/2023,20.86,21.36,20.77,20.95
12/8/2023,20.53,20.9,20.24,20.27
12/11/2023,26.35,26.35,19.41,19.56
12/12/2023,19.43,19.68,18.46,18.78
12/13/2023,19.08,19.21,17.99,18.22
12/14/2023,18.7,18.7,17.03,17.1
12/15/2023,17.74,18.65,17.25,18.61
12/18/2023,23.18,23.18,18.26,19.4
12/19/2023,19.51,20.19,19.4,20.16
12/20/2023,20.01,21.93,19.88,20.64
12/21/2023,20.43,21.78,20.09,20.33
12/22/2023,20.58,21.51,20.17,20.24
12/26/2023,22.21,22.21,19.67,19.8
12/27/2023,19.74,19.74,18.48,18.62
12/28/2023,18.59,19.44,18.43,18.83
12/29/2023,19.02,20.72,18.76,19.29
1/2/2024,23.91,23.91,19.09,19.26
1/3/2024,20.64,21.59,19.85,21.11
1/4/2024,21.44,21.51,20.4,21.04
1/5/2024,20.59,21.24,19.74,20.53
1/8/2024,24.47,24.47,19.07,19.24
1/9/2024,19.9,20.02,18.4,18.75
1/10/2024,18.3,18.55,17.91,18.32
1/11/2024,17.8,19.51,17.29,17.36
1/12/2024,17.32,18.72,17.3,18.45
1/16/2024,24.33,24.33,18.69,19.49
1/17/2024,21.76,22.04,20.55,20.87
1/18/2024,19.8,21.18,19.31,19.53
1/19/2024,19.33,19.96,18.27,18.36
1/22/2024,21.12,21.12,17.57,17.67
1/23/2024,17.63,18.1,17.01,17.06
1/24/2024,17.22,17.76,16.88,17.46
1/25/2024,17.65,18.79,16.94,17.45
1/26/2024,17.7,18.07,17.07,17.5
1/29/2024,22.25,22.25,17.27,17.52
1/30/2024,17.42,17.45,16.35,16.81
1/31/2024,18.03,20.07,17.85,19.67
2/1/2024,18.97,20.02,18.37,18.38
2/2/2024,19.85,20.32,18.98,19.54
2/5/2024,24.64,24.64,17.34,17.52
2/6/2024,17.26,18.7,17.26,17.75
2/7/2024,17.73,18.19,17.35,17.44
2/8/2024,17.59,17.75,17.14,17.2
2/9/2024,17.48,17.51,16.73,17.16
2/12/2024,20.18,20.18,16.71,17.44
2/13/2024,18.65,20.87,18.01,18.06
2/14/2024,16.87,18.39,16.58,17.01
2/15/2024,16.83,17.07,16.2,16.2
2/16/2024,16.83,17.36,14.85,16.61
