Date,Cnsmr,Manuf,HiTec,Hlth,Other
201007,   6.46,   8.50,   7.80,   2.14,   6.81
201008,  -3.30,  -3.80,  -5.52,  -1.66,  -7.10
201009,   9.82,   8.66,  11.48,   9.01,   8.51
201010,   3.61,   4.40,   6.00,   1.98,   2.03
201011,   2.76,   2.39,  -0.99,  -3.34,   0.50
201012,   4.08,   7.27,   6.12,   5.44,   9.23
201101,  -1.34,   4.30,   3.08,  -0.72,   2.10
201102,   2.84,   4.85,   3.47,   3.32,   2.94
201103,   1.89,   1.82,  -0.76,   2.29,  -1.08
201104,   4.36,   2.58,   3.17,   6.34,   1.06
201105,   0.97,  -2.57,  -1.18,   1.95,  -2.64
201106,  -0.98,  -1.21,  -2.21,  -1.88,  -2.12
201107,  -1.38,  -2.11,  -1.54,  -3.66,  -3.66
201108,  -2.87,  -6.62,  -6.41,  -3.16,  -8.15
201109,  -5.13,  -9.86,  -5.02,  -3.95, -11.10
201110,   9.41,  13.48,  10.87,   5.54,  13.59
201111,   0.44,   1.60,  -1.51,   1.30,  -2.03
201112,   1.12,   0.02,  -0.43,   3.51,   1.46
201201,   3.35,   2.95,   7.11,   3.41,   7.23
201202,   3.67,   4.38,   6.25,   1.26,   4.21
201203,   4.05,  -0.66,   4.16,   3.94,   4.90
201204,   0.24,  -0.63,  -1.31,   0.61,  -1.66
201205,  -3.29,  -7.67,  -6.34,  -3.25,  -7.73
201206,   2.09,   3.21,   3.86,   6.83,   4.89
201207,   1.23,   2.06,   0.83,   1.63,  -1.23
201208,   1.81,   1.74,   3.93,   0.98,   3.12
201209,   1.66,   2.53,   2.04,   4.69,   3.79
201210,  -0.78,  -0.80,  -5.44,  -1.91,   0.91
201211,   2.26,   0.02,   1.14,   1.50,  -0.37
201212,  -0.90,   1.80,   0.54,  -0.53,   3.67
201301,   5.22,   6.40,   2.96,   8.08,   6.76
201302,   1.66,   1.21,   1.05,   1.32,   1.41
201303,   4.79,   2.91,   3.42,   6.51,   4.18
201304,   3.19,   0.70,   1.36,   2.60,   0.83
201305,   1.12,   1.49,   2.95,   1.62,   5.92
201306,  -0.03,  -1.69,  -1.73,  -1.37,  -1.19
201307,   5.05,   5.54,   5.17,   8.08,   5.69
201308,  -3.84,  -2.30,  -0.91,  -3.68,  -3.64
201309,   3.77,   3.36,   3.93,   4.16,   3.83
201310,   4.60,   4.42,   4.25,   3.56,   3.90
201311,   2.67,   1.41,   2.79,   4.49,   4.79
201312,   1.12,   2.88,   3.98,   0.62,   3.10
201401,  -5.95,  -4.10,  -1.93,   1.88,  -4.37
201402,   4.91,   5.10,   4.58,   6.48,   3.49
201403,   0.71,   1.45,  -0.45,  -2.56,   1.98
201404,   0.06,   3.04,  -0.74,  -0.41,  -1.97
201405,   1.85,   0.89,   3.54,   1.87,   1.86
201406,   1.53,   3.00,   2.59,   2.90,   2.45
201407,  -3.24,  -4.31,   0.36,  -0.30,  -2.27
201408,   5.22,   3.99,   3.36,   5.54,   4.12
201409,  -1.71,  -4.55,  -1.37,  -0.22,  -1.13
201410,   2.97,   0.85,   1.43,   5.90,   3.44
201411,   6.30,  -1.95,   3.90,   2.52,   2.49
201412,   0.08,   0.44,  -1.38,  -0.82,   1.17
201501,  -0.71,  -3.00,  -3.69,   1.59,  -6.36
201502,   5.62,   3.70,   8.39,   4.24,   7.21
201503,  -0.50,  -1.88,  -2.39,   0.76,  -0.59
201504,  -1.05,   1.66,   1.90,  -1.42,   0.62
201505,   1.14,  -1.22,   1.64,   4.91,   1.74
201506,  -0.92,  -3.10,  -2.93,   0.16,   0.03
201507,   4.34,  -3.22,   2.21,   3.49,   1.82
201508,  -5.00,  -4.76,  -6.33,  -8.37,  -6.18
201509,  -1.48,  -3.93,  -1.69,  -6.95,  -3.06
201510,   5.47,   8.67,   9.96,   7.50,   6.60
201511,   0.35,  -0.14,   0.59,   0.57,   1.38
201512,   0.14,  -4.58,  -2.70,   0.29,  -2.67
201601,  -3.30,  -3.36,  -4.85, -10.13,  -8.77
201602,   0.52,   1.28,  -0.48,  -0.98,  -0.43
201603,   5.81,   8.15,   7.89,   3.96,   7.16
201604,  -0.15,   3.54,  -3.12,   4.95,   2.39
201605,   0.73,   0.01,   4.08,   2.41,   1.20
201606,   1.76,   2.71,  -0.71,  -0.16,  -3.07
201607,   2.48,   1.16,   6.46,   6.16,   3.75
201608,  -1.00,   0.40,   0.76,  -3.14,   3.30
201609,  -1.42,   1.13,   1.93,   0.58,  -1.10
201610,  -2.53,  -2.30,  -1.52,  -7.52,   0.74
201611,   1.44,   5.40,   1.79,   2.40,  11.64
201612,   1.32,   1.53,   1.77,   0.72,   2.97
201701,   1.42,   0.60,   4.32,   2.03,   0.95
201702,   3.00,   2.21,   3.85,   7.00,   3.68
201703,   0.80,  -0.19,   1.86,   0.04,  -1.66
201704,   1.82,   0.30,   2.12,   0.91,   0.30
201705,   2.08,   0.27,   3.12,  -0.26,  -0.52
201706,  -1.22,   0.24,  -2.12,   5.54,   4.41
201707,  -0.06,   2.31,   3.97,   0.70,   1.36
201708,  -1.54,  -0.72,   1.98,   2.59,  -0.64
201709,   1.66,   4.65,   0.29,   2.09,   4.57
201710,   1.70,   2.20,   4.72,  -2.26,   2.08
201711,   5.90,   3.11,   1.52,   2.46,   3.91
201712,   2.02,   1.58,   0.59,  -0.15,   1.41
201801,   6.35,   2.46,   7.06,   6.38,   5.78
201802,  -5.26,  -6.00,  -1.21,  -3.49,  -3.28
201803,  -2.31,   0.11,  -3.07,  -2.41,  -2.63
201804,   1.09,   1.38,  -0.53,  -0.04,   0.62
201805,   0.59,   2.36,   5.67,   2.37,   1.34
201806,   3.31,   0.11,   0.50,   1.48,  -0.97
201807,   2.75,   3.36,   2.49,   5.92,   3.81
201808,   4.68,  -0.83,   6.59,   4.50,   2.27
201809,   0.32,   1.53,   0.12,   2.08,  -1.45
201810,  -6.01,  -8.65,  -7.62,  -8.79,  -6.74
201811,   2.08,   2.47,  -0.93,   6.42,   2.81
201812,  -9.88,  -9.06,  -8.23,  -8.25, -10.94
201901,   8.10,   8.96,   8.70,   5.32,   9.80
201902,   1.09,   4.16,   5.39,   3.30,   2.96
201903,   2.85,   0.72,   3.32,   0.50,  -1.47
201904,   4.11,   2.43,   5.87,  -3.16,   6.63
201905,  -6.35,  -8.25,  -7.72,  -3.40,  -6.17
201906,   6.88,   7.27,   7.63,   6.83,   6.64
201907,   1.17,  -0.39,   3.26,  -2.18,   1.86
201908,  -0.64,  -2.21,  -2.17,  -0.64,  -4.69
201909,   1.34,   3.83,   1.18,  -0.98,   2.06
201910,   0.98,  -0.74,   3.04,   4.68,   3.11
201911,   2.20,   1.55,   4.83,   5.61,   5.07
201912,   2.24,   3.02,   3.39,   3.46,   2.41
202001,   1.01,  -3.02,   2.62,  -1.99,  -1.45
202002,  -7.38, -10.26,  -6.83,  -5.36,  -9.93
202003,  -9.82, -19.25, -10.31,  -5.09, -19.35
202004,  15.76,  12.62,  14.61,  13.48,  11.08
202005,   4.26,   4.55,   7.59,   4.15,   4.08
202006,   3.90,   0.17,   4.93,  -1.45,   0.16
202007,   9.35,   3.42,   6.77,   4.39,   3.53
202008,  10.21,   3.01,   9.93,   2.35,   6.90
202009,  -4.05,  -2.37,  -4.87,  -1.46,  -2.93
202010,  -2.73,   0.02,  -2.09,  -4.40,  -1.58
202011,  11.47,  12.94,  11.18,   9.86,  15.87
202012,   4.01,   2.62,   5.15,   4.70,   5.54
202101,   0.64,  -0.95,   0.16,   3.43,  -2.82
202102,  -2.07,   5.91,   1.84,  -1.28,   9.71
202103,   5.31,   7.33,   0.81,  -0.08,   5.69
202104,   5.89,   2.50,   6.07,   2.97,   5.63
202105,  -1.76,   2.49,  -0.82,  -0.11,   2.87
202106,   2.37,  -0.02,   6.23,   4.39,  -2.48
202107,   0.07,  -0.17,   3.10,   2.92,  -0.42
202108,   1.71,   0.80,   4.36,   2.85,   2.59
202109,  -3.28,  -2.84,  -6.16,  -6.01,  -2.26
202110,   8.63,   6.01,   6.74,   2.25,   7.25
202111,   0.51,  -1.85,   0.35,  -4.29,  -4.96
202112,   1.54,   5.86,   1.94,   6.62,   4.88
202201,  -7.48,  -0.86,  -7.86,  -8.77,  -3.22
202202,  -2.25,   0.83,  -4.56,  -1.00,  -0.97
202203,   4.36,   4.68,   2.82,   5.13,   1.00
202204,  -8.55,  -3.99, -12.45,  -6.88,  -8.98
202205,  -4.29,   4.66,  -1.24,   0.96,   0.66
202206,  -7.41, -10.77,  -8.17,  -2.01,  -9.76
202207,  13.99,   8.44,  10.75,   2.77,   8.69
202208,  -3.30,  -0.91,  -5.06,  -5.03,  -2.62
202209,  -7.62, -10.90, -11.61,  -1.91,  -8.05
202210,   3.71,  13.50,   5.45,   8.80,  11.66
202211,   2.34,   6.17,   5.02,   5.35,   5.99
202212,  -9.43,  -2.64,  -7.83,  -1.74,  -5.37
202301,   9.10,   3.61,  10.01,  -1.03,   7.32
202302,  -1.95,  -3.91,  -0.77,  -4.29,  -2.68
202303,   2.78,   0.85,   9.52,   2.49,  -5.00
202304,  -0.10,   0.71,   0.31,   4.12,   1.83
202305,   0.64,  -6.67,   6.98,  -3.67,  -2.65
202306,   8.98,   7.96,   5.83,   4.66,   7.44
202307,   2.36,   4.15,   4.10,  -0.11,   5.24
202308,  -1.82,  -1.82,  -1.58,  -0.22,  -3.35
202309,  -4.94,  -3.95,  -5.82,  -4.71,  -3.41
202310,  -3.43,  -3.05,  -1.68,  -4.58,  -2.53
202311,   7.88,   5.22,  11.65,   5.87,  10.41
202312,   5.48,   3.86,   4.56,   6.90,   6.54
