Date,Cnsmr,Manuf,HiTec,Hlth ,Other
  1927,  49.29,  25.47,  37.93,  46.55,  27.63
  1928,  38.41,  46.31,  44.60,  47.21,  19.03
  1929, -35.08,  -7.17,   8.76, -25.20,  -6.37
  1930, -21.70, -30.89, -24.87, -14.62, -32.15
  1931, -30.75, -47.31, -37.04, -15.06, -59.54
  1932, -14.99,  -1.82, -11.96, -22.50,  -9.54
  1933,  77.45,  56.09,  26.99,  15.19,  63.07
  1934,  13.90,  -2.60,   6.33,  22.41,  -2.27
  1935,  34.83,  48.15,  66.34,  19.14,  36.45
  1936,  21.73,  39.99,  29.85,  16.65,  36.95
  1937, -37.99, -34.82, -22.76, -25.18, -41.62
  1938,  39.83,  28.19,  16.07,  38.15,  23.12
  1939,   8.85,  -0.84,   6.69,  16.30,  -3.79
  1940,  -7.23,  -8.38,  -3.04, -19.14,  -5.20
  1941, -15.89,  -6.58, -15.07,  -6.11,  -7.35
  1942,  23.12,  11.93,  13.81,  17.27,  27.27
  1943,  33.18,  24.37,  30.34,  20.54,  32.31
  1944,  26.39,  18.14,  14.73,  10.73,  33.97
  1945,  42.61,  37.98,  27.57,  46.09,  45.83
  1946, -11.02,   0.23, -12.07,  28.03, -16.77
  1947,   3.82,   7.57,  -1.34, -19.29,  -5.22
  1948,  -1.39,   2.73,   5.98,  -5.24,   2.81
  1949,  27.83,  18.35,  13.00,  39.90,  16.93
  1950,  20.96,  38.82,  15.03,  17.41,  32.24
  1951,  10.20,  26.65,  17.38,  31.08,  13.33
  1952,  17.52,  11.49,  14.98, -12.26,  21.47
  1953,  -2.92,   1.54,   8.01,   0.74,  -6.84
  1954,  41.94,  53.79,  43.95,  35.17,  60.06
  1955,  27.23,  28.68,  15.75,  21.05,  14.94
  1956,  -2.99,  12.34,  10.43,  15.68,   0.48
  1957,  -9.89, -12.96,   4.18,  28.39, -18.29
  1958,  53.69,  39.45,  49.18,  74.44,  58.02
